Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment,Unnamed: 13
2024.08.01 09:30:00,676.0,USDJPY!,buy,in,0.05,150.032,676.0,- 0.35,0.0,0.00,9 702.34,,
2024.08.01 19:35:00,677.0,USDJPY!,sell,out,0.05,149.769,677.0,- 0.35,0.0,- 8.78,9 693.21,,
2024.08.01 20:20:00,678.0,USDJPY!,sell,in,0.05,149.75,678.0,- 0.35,0.0,0.00,9 692.86,,
2024.08.02 23:30:00,679.0,USDJPY!,buy,out,0.05,146.588,679.0,- 0.35,0.0, 107.85,9 800.36,,
2024.08.05 02:05:00,680.0,USDJPY!,sell,in,0.05,146.252,680.0,- 0.35,0.0,0.00,9 800.01,,
2024.08.05 17:10:00,681.0,USDJPY!,buy,out,0.05,143.513,681.0,- 0.35,0.0, 95.43,9 895.09,,
2024.08.05 18:25:00,682.0,USDJPY!,buy,in,0.05,143.23,682.0,- 0.35,0.0,0.00,9 894.74,,
2024.08.06 12:05:00,683.0,USDJPY!,sell,out,0.05,144.603,683.0,- 0.35,0.0, 47.47,9 941.86,,
2024.08.06 12:10:00,684.0,USDJPY!,sell,in,0.05,144.658,684.0,- 0.35,0.0,0.00,9 941.51,,
2024.08.06 19:15:00,685.0,USDJPY!,buy,out,0.05,145.244,685.0,- 0.35,0.0,- 20.17,9 920.99,,
2024.08.06 19:30:00,686.0,USDJPY!,buy,in,0.05,145.273,686.0,- 0.35,0.0,0.00,9 920.64,,
2024.08.06 23:45:00,687.0,USDJPY!,sell,out,0.05,144.671,687.0,- 0.35,0.0,- 20.81,9 899.48,,
2024.08.07 04:45:00,688.0,USDJPY!,buy,in,0.05,146.5,688.0,- 0.35,0.0,0.00,9 899.13,,
2024.08.07 10:30:00,689.0,USDJPY!,sell,out,0.05,146.217,689.0,- 0.35,0.0,- 9.68,9 889.10,,
2024.08.07 21:15:00,690.0,USDJPY!,sell,in,0.05,146.772,690.0,- 0.35,0.0,0.00,9 888.75,,
2024.08.08 13:25:00,691.0,USDJPY!,buy,out,0.05,146.2,691.0,- 0.35,0.0, 19.56,9 907.96,,
2024.08.08 15:40:00,692.0,USDJPY!,buy,in,0.05,146.983,692.0,- 0.35,0.0,0.00,9 907.61,,
2024.08.09 07:35:00,693.0,USDJPY!,sell,out,0.05,147.137,693.0,- 0.35,0.0, 5.23,9 912.49,,
2024.08.09 07:40:00,694.0,USDJPY!,sell,in,0.05,147.116,694.0,- 0.35,0.0,0.00,9 912.14,,
2024.08.09 12:20:00,695.0,USDJPY!,buy,out,0.05,147.261,695.0,- 0.35,0.0,- 4.92,9 906.87,,
2024.08.09 15:25:00,696.0,USDJPY!,sell,in,0.05,146.821,696.0,- 0.35,0.0,0.00,9 906.52,,
2024.08.09 21:10:01,697.0,USDJPY!,buy,out,0.05,146.711,697.0,- 0.35,0.0, 3.75,9 909.92,,
2024.08.12 01:25:00,698.0,USDJPY!,buy,in,0.05,146.993,698.0,- 0.35,0.0,0.00,9 909.57,,
2024.08.12 19:30:00,699.0,USDJPY!,sell,out,0.05,147.365,699.0,- 0.35,0.0, 12.62,9 921.84,,
2024.08.12 20:15:00,700.0,USDJPY!,sell,in,0.05,147.215,700.0,- 0.35,0.0,0.00,9 921.49,,
2024.08.13 04:35:00,701.0,USDJPY!,buy,out,0.05,147.44,701.0,- 0.35,0.0,- 7.63,9 913.51,,
2024.08.13 06:50:00,702.0,USDJPY!,buy,in,0.05,147.481,702.0,- 0.35,0.0,0.00,9 913.16,,
2024.08.13 13:40:00,703.0,USDJPY!,sell,out,0.05,147.615,703.0,- 0.35,0.0, 4.54,9 917.35,,
2024.08.13 14:30:00,704.0,USDJPY!,sell,in,0.05,147.431,704.0,- 0.35,0.0,0.00,9 917.00,,
